id,model,richness,connectance,complexity,distance,basal,top,S1,S2,S4,S5
Healy,niche,19,0.07756232686980609,0.9233273475124206,2.0,8.0,5.0,12.0,3.0,12.0,22.0
Healy,bodymassratio,19,0.13573407202216067,0.9363114693129981,1.0,2.0,2.0,106.0,23.0,40.0,36.0
Kyeburn,adbm,20,0.1,0.8688116803735682,2.0,9.0,6.0,27.0,9.0,72.0,63.0
Kyeburn,niche,20,0.0775,0.928082458530814,2.0,10.0,5.0,13.0,1.0,18.0,31.0
Kyeburn,bodymassratio,20,0.1225,0.9307379371880227,5.0,2.0,3.0,96.0,12.0,49.0,43.0
Little,adbm,15,0.06666666666666667,0.8157704549618993,2.0,10.0,10.0,0.0,1.0,19.0,19.0
Little,niche,15,0.10222222222222223,0.9048184049691621,2.0,5.0,6.0,1.0,0.0,4.0,5.0
Little,bodymassratio,15,0.09777777777777778,0.9437922836465652,3.0,5.0,5.0,23.0,5.0,19.0,22.0
Narrowdale,adbm,16,0.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0
Narrowdale,niche,16,0.08203125,0.9204977069771245,2.0,5.0,9.0,16.0,5.0,20.0,12.0
Narrowdale,bodymassratio,16,0.109375,0.9210223500693685,3.0,2.0,4.0,35.0,7.0,18.0,29.0
NorthCol,adbm,22,0.10537190082644628,0.844298886733378,2.0,10.0,11.0,44.0,17.0,112.0,85.0
NorthCol,niche,22,0.12190082644628099,0.8916953872126991,2.0,7.0,5.0,31.0,10.0,42.0,65.0
NorthCol,bodymassratio,22,0.12396694214876033,0.9073377604073146,2.0,6.0,3.0,83.0,20.0,84.0,100.0
Powder,adbm,23,0.11720226843100189,0.8843048744550411,2.0,12.0,3.0,83.0,13.0,70.0,172.0
Powder,niche,23,0.12287334593572778,0.9002405425020144,2.0,5.0,0.0,19.0,14.0,56.0,32.0
