model,time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
BMR,G4,2,shifted_optimum_low,44,0.12706611570247933,10,0.8971124027141564,6.1897492415017624e16,1.0,0.4453926342083111,0.4352547841653828,4.613636363636363,0.6058884297520661,0.0878099173553719,0.26962809917355374,0.2727272727272727
BMR,G4,2,shifted_optimum_high,44,0.11725206611570248,8,0.8947050074963321,6.0898928432823016e16,1.0,0.3545703450651702,0.4008365853896087,4.181818181818182,0.5960743801652892,0.0025826446280991736,0.2887396694214876,0.2784090909090909
ADBM,G4,2,biomass_driven,44,0.256198347107438,2,0.7963344298098762,4.114715420941312,3.0,0.6597951186002093,0.7708318957995496,10.295454545454545,0.9638429752066116,0.5196280991735537,1.634814049586777,1.4106404958677685
ADBM,G4,2,high_attack,44,0.3243801652892562,1,0.7722889832574064,3.6665506582593683,2.0,0.7915796683635479,0.8676752805447414,13.295454545454545,0.0,1.8543388429752066,2.0015495867768593,1.7159090909090908
ADBM,G4,2,low_attack,44,0.32489669421487605,1,0.7721319823502283,3.6677798576314258,2.0,0.790208285899643,0.8668494614602347,13.318181818181818,0.0,1.8631198347107438,2.0020661157024793,1.7138429752066116
ADBM,G4,2,power_handling,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
ADBM,G4,2,high_handling,44,0.3243801652892562,1,0.7722889832574064,3.6665506582593683,2.0,0.7915796683635479,0.8676752805447414,13.295454545454545,0.0,1.8543388429752066,2.0015495867768593,1.7159090909090908
ADBM,G4,2,low_handling,44,0.32489669421487605,1,0.7721319823502283,3.6677798576314258,2.0,0.790208285899643,0.8668494614602347,13.318181818181818,0.0,1.8631198347107438,2.0020661157024793,1.7138429752066116
ADBM,G4,2,strict_ratio,44,0.2753099173553719,1,0.768241698239326,3.068252804821126,2.0,0.851265159077524,0.9813310812191404,11.136363636363637,0.0,1.0346074380165289,2.0645661157024793,1.6761363636363635
ADBM,G4,2,relaxed_ratio,44,0.3972107438016529,1,0.752067285146958,4.13645088483604,2.0,0.6998389623494546,0.7348630196747592,16.5,0.0,3.5764462809917354,1.5278925619834711,1.3574380165289257
