time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
G2,85,baseline,20,0.145,8,0.9260871155760552,6.491235211196544e16,1.0,0.5235549341491368,0.5582643213625735,1.95,0.35,0.0175,0.1825,0.175
G2,85,shifted_optimum_low,20,0.1525,9,0.9162293169896598,5.899248010163928e16,1.0,0.4929523533359422,0.5775176543728523,2.1,0.395,0.0125,0.2175,0.1975
G2,85,shifted_optimum_high,20,0.135,8,0.9235369359861006,-1.6517536769011744e17,1.0,0.4512154787612796,0.5775378119164138,1.75,0.3175,0.0,0.1725,0.15
G3,85,strict_threshold,28,0.1568877551020408,9,0.8904704126522627,-3.4633396021600536e16,1.0,0.41255360071039954,0.4691504907329653,3.4285714285714284,0.6823979591836735,0.002551020408163265,0.336734693877551,0.3201530612244898
G3,85,narrow_niche,28,0.17729591836734693,6,0.8835785054904325,-1.1582627138952021e17,1.0,0.42988356786112253,0.4263732320853323,4.0,0.7908163265306123,0.02806122448979592,0.4005102040816326,0.4017857142857143
G3,85,wide_niche,28,0.12627551020408162,8,0.9133719283969388,1.8262207786285196e16,1.0,0.557650032735114,0.5248062796896144,2.5714285714285716,0.4107142857142857,0.00510204081632653,0.21428571428571427,0.22193877551020408
G3,85,relaxed_threshold,28,0.1377551020408163,8,0.9101836321094764,36.62175525339921,1.0,0.6139829432611773,0.6339318841122055,2.892857142857143,0.4489795918367347,0.04591836734693878,0.2538265306122449,0.24744897959183673
G3,85,baseline,28,0.14668367346938777,8,0.9059129902597264,3.0135280402910516e16,1.0,0.47016124872639464,0.555766395614591,3.142857142857143,0.5420918367346939,0.017857142857142856,0.2997448979591837,0.274234693877551
G3,85,shifted_optimum_low,28,0.1568877551020408,8,0.8829346182713621,-1.7211298318977646e16,1.0,0.4524906748237005,0.5448614903971959,3.4285714285714284,0.6122448979591837,0.021683673469387755,0.34311224489795916,0.3125
G3,85,shifted_optimum_high,28,0.13392857142857142,8,0.9091176064926573,1.4552285533112186e17,1.0,0.43922865423329166,0.5264994264864256,2.7857142857142856,0.45918367346938777,0.002551020408163265,0.24872448979591838,0.22831632653061223
G4,85,strict_threshold,44,0.13326446280991736,8,0.8876473733691692,48.730354719092,3.0,0.4660947582845779,0.45284577406278875,4.886363636363637,0.7758264462809917,0.013429752066115703,0.38894628099173556,0.39359504132231404
G4,85,narrow_niche,44,0.15805785123966942,6,0.8696918136729789,75.9137806283157,5.0,0.4318789144351864,0.4066481962696113,5.9772727272727275,1.0506198347107438,0.01652892561983471,0.5428719008264463,0.5542355371900827
G4,85,wide_niche,44,0.09917355371900827,9,0.9039063554846324,26.217415539543886,2.0,0.5505568886108858,0.41671511346255935,3.3863636363636362,0.41115702479338845,0.018078512396694214,0.18543388429752067,0.2128099173553719
G4,85,relaxed_threshold,44,0.12396694214876033,8,0.892595972380748,21.08379330696223,4.0,0.6067024437870328,0.5237264607452583,4.4772727272727275,0.5971074380165289,0.04700413223140496,0.3197314049586777,0.3507231404958678
G4,85,baseline,44,0.1265495867768595,8,0.8892647884395688,17.819082881889642,1.0,0.4456640752232089,0.4013884834713919,4.590909090909091,0.7040289256198347,0.02066115702479339,0.32386363636363635,0.3367768595041322
G4,85,shifted_optimum_low,44,0.13119834710743802,9,0.8908147384265842,17.41841512136104,6.0,0.4386565258032678,0.38439093191181406,4.795454545454546,0.7169421487603306,0.05526859504132232,0.3125,0.3290289256198347
G4,85,shifted_optimum_high,44,0.1234504132231405,7,0.8869386810948144,17.421890006426068,6.0,0.477106929686022,0.4037300188279888,4.454545454545454,0.6642561983471075,0.002066115702479339,0.32489669421487605,0.34607438016528924
G1,86,strict_threshold,47,0.13173381620642824,7,0.8839606689196179,31.25850219590582,1.0,0.4008033109145782,0.49454281718733895,5.212765957446808,0.8085106382978723,0.019013128112267994,0.4205522861023087,0.38705296514259846
G1,86,narrow_niche,47,0.15346310547759168,5,0.8758655212839181,36.11012889375203,5.0,0.41385056239564744,0.4579476919027236,6.23404255319149,1.1009506564056133,0.008601177003168854,0.5817111815301041,0.5608872793119059
G1,86,wide_niche,47,0.10185604345857854,9,0.9098471179469234,19.88247494170105,2.0,0.5189170770979872,0.46287950294416796,3.8085106382978724,0.4359438660027162,0.027161611588954276,0.21684019918515166,0.22996831145314622
G1,86,relaxed_threshold,47,0.11181530104119511,8,0.896854812909886,12.30411039557398,5.0,0.6010327434446674,0.5010417046891906,4.276595744680851,0.5694884563150747,0.02489814395654142,0.28519692168401994,0.3168854685377999
G1,86,baseline,47,0.12584880036215482,6,0.892035383647217,27.542873421696683,4.0,0.463445256792224,0.3875039638845906,4.9361702127659575,0.7143503847894975,0.018560434585785424,0.3454051607062019,0.3689452240832956
