model,time,n_rep,bodysize_method,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
lmatrix,G4,1,uniform,44,0.2515495867768595,1,0.7566348149236835,2.710306686777274,2.0,1.0038931335139054,0.9194028810183112,10.090909090909092,0.0,0.6890495867768595,1.7272727272727273,1.9483471074380165
niche,G4,1,uniform,44,0.11570247933884298,3,0.8714642210415231,4.1919933914331065,2.0,1.0740623773821665,0.8223398816020536,4.113636363636363,0.2644628099173554,0.20609504132231404,0.1590909090909091,0.29545454545454547
pfim_metaweb,G4,1,uniform,44,0.1368801652892562,3,0.8504460455213982,2.4519969691728654,3.0,1.4653071707061418,0.5932664067256673,5.045454545454546,0.1637396694214876,0.24431818181818182,0.14979338842975207,0.734504132231405
pfim_downsample,G4,1,uniform,44,0.10795454545454546,3,0.9110910430838949,2.5818767875441058,3.0,1.6021148170082995,0.5904607926785009,3.772727272727273,0.12086776859504132,0.12448347107438017,0.11363636363636363,0.5769628099173554
random,G4,1,uniform,44,0.27479338842975204,3,0.9208282906425893,5.054589381362916e17,1.0,0.24768277563496816,0.24768277563496816,11.113636363636363,0.0,0.0,0.0,0.0
adbm,G1,1,lognormal,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
bodymassratio,G1,1,lognormal,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
lmatrix,G1,1,lognormal,47,0.23042100497962878,1,0.7792645605109194,2.7936387163561074,2.0,1.1348827962827215,0.8907491695076575,9.851063829787234,0.0,0.5749207786328655,1.5264825712992305,2.1303757356269806
niche,G1,1,lognormal,46,0.11531190926275993,4,0.8809938609226314,4.1,3.0,1.2548618460055845,0.4649756284958449,4.326086956521739,0.2542533081285444,0.11814744801512288,0.16493383742911152,0.5378071833648393
pfim_metaweb,G1,1,lognormal,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,0.07650520597555455,0.19013128112267993,0.12992304210049796,0.9071978270710729
pfim_downsample,G1,1,lognormal,47,0.09370755998189226,3,0.8847500536399835,2.8638955113102424,3.0,1.9672835253933145,0.5654758428699928,3.425531914893617,0.06745133544590312,0.10683567224988683,0.09280217292892712,0.7342688999547307
random,G1,1,lognormal,47,0.16659121774558625,4,0.9323330876015641,3.1086784866923576e18,1.0,0.309788826919981,0.309788826919981,6.851063829787234,0.0,0.0,0.0,0.0
adbm,G2,1,lognormal,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
bodymassratio,G2,1,lognormal,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
lmatrix,G2,1,lognormal,20,0.26,1,0.7799890246399223,2.6428571428571446,2.0,0.8968091121408225,1.035796550451451,4.25,0.0,0.355,0.88,0.7075
niche,G2,1,lognormal,19,0.09418282548476455,4,0.9369813597311926,4.666666666666666,2.0,1.0300651521183561,0.7809978928099778,0.8421052631578947,0.09418282548476455,0.038781163434903045,0.04709141274238227,0.08310249307479224
pfim_metaweb,G2,1,lognormal,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,0.1875,0.2275,0.0,0.415
pfim_downsample,G2,1,lognormal,20,0.16,3,0.8526147389939502,2.0265313390313393,2.0,1.559536663648264,0.604941275966867,2.25,0.1225,0.1775,0.0175,0.3925
random,G2,1,lognormal,20,0.2,4,0.9244012387166218,8.281548744947568e16,1.0,0.38899330260774956,0.38899330260774956,3.05,0.0,0.0,0.0,0.0
adbm,G3,1,lognormal,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
bodymassratio,G3,1,lognormal,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
lmatrix,G3,1,lognormal,28,0.24107142857142858,1,0.7934963761306807,2.6500000000000004,2.0,0.9529925965035088,1.0410465308468708,5.785714285714286,0.0,0.38010204081632654,1.163265306122449,1.0255102040816326
niche,G3,1,lognormal,25,0.1104,2,0.9205971612220396,3.615833333333334,2.0,0.8830476526778218,1.0101702254264002,1.8,0.1312,0.048,0.1824,0.1424
pfim_metaweb,G3,1,lognormal,28,0.13010204081632654,3,0.7906103358501839,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,0.1364795918367347,0.20918367346938777,0.02295918367346939,0.45408163265306123
pfim_downsample,G3,1,lognormal,28,0.11352040816326531,3,0.849906561818479,2.1514313301078003,2.0,1.7859632148052385,0.7318496453237507,2.2142857142857144,0.1326530612244898,0.14795918367346939,0.016581632653061226,0.3864795918367347
random,G3,1,lognormal,28,0.1556122448979592,4,0.9332182266353534,4.5132393005282904e16,1.0,0.36537182569728555,0.36537182569728555,3.392857142857143,0.0,0.0,0.0,0.0
adbm,G4,1,lognormal,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
bodymassratio,G4,1,lognormal,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
